09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/callback.*] onto handler 'buTestController'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/callback/] onto handler 'buTestController'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/index] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/index.*] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/index/] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error404] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error404.*] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error404/] onto handler 'redirectPage'
09/26 12:23:14.636 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error500] onto handler 'redirectPage'
09/26 12:23:14.637 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error500.*] onto handler 'redirectPage'
09/26 12:23:14.637 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/error500/] onto handler 'redirectPage'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/init] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/init.*] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/init/] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/start] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/start.*] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/start/] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/stop] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/stop.*] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/stop/] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/isalive] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/isalive.*] onto handler 'buCliFtpServerController'
09/26 12:23:14.638 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/ftpserver/isalive/] onto handler 'buCliFtpServerController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/connect] onto handler 'buCliMonitorController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/connect.*] onto handler 'buCliMonitorController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/connect/] onto handler 'buCliMonitorController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/hardware] onto handler 'buCliMonitorController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/hardware.*] onto handler 'buCliMonitorController'
09/26 12:23:14.639 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/monitor/hardware/] onto handler 'buCliMonitorController'
09/26 12:23:14.640 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/list] onto handler 'buCliPubMenuController'
09/26 12:23:14.640 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/list.*] onto handler 'buCliPubMenuController'
09/26 12:23:14.640 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/list/] onto handler 'buCliPubMenuController'
09/26 12:23:14.640 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/publish] onto handler 'buCliPubMenuController'
09/26 12:23:14.640 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/publish.*] onto handler 'buCliPubMenuController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/publish/] onto handler 'buCliPubMenuController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/option] onto handler 'buCliPubMenuController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/option.*] onto handler 'buCliPubMenuController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/pub_menu/option/] onto handler 'buCliPubMenuController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/store/list/{lastTime}] onto handler 'buCliStoreController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/store/list/{lastTime}.*] onto handler 'buCliStoreController'
09/26 12:23:14.641 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/store/list/{lastTime}/] onto handler 'buCliStoreController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/list] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/list.*] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/list/] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/subscribe] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/subscribe.*] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/subscribe/] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/option] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/option.*] onto handler 'buCliSubMenuController'
09/26 12:23:14.642 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/client/config/sub_menu/option/] onto handler 'buCliSubMenuController'
09/26 12:23:14.643 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/get] onto handler 'buMgrDataCenterController'
09/26 12:23:14.644 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/get.*] onto handler 'buMgrDataCenterController'
09/26 12:23:14.644 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/get/] onto handler 'buMgrDataCenterController'
09/26 12:23:14.644 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/edit] onto handler 'buMgrDataCenterController'
09/26 12:23:14.644 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/edit.*] onto handler 'buMgrDataCenterController'
09/26 12:23:14.644 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/data_center/edit/] onto handler 'buMgrDataCenterController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/list] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/list.*] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/list/] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/create/{server_id}] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/create/{server_id}.*] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/create/{server_id}/] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/cancel/{menu_id}] onto handler 'buMgrPubMenuController'
09/26 12:23:14.645 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/cancel/{menu_id}.*] onto handler 'buMgrPubMenuController'
09/26 12:23:14.646 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/pub_menu/cancel/{menu_id}/] onto handler 'buMgrPubMenuController'
